district,block,elex_gp,lgd_gp,lgd_gp_code,match_distance,tie_count,match_quality
Mirzapur,Chhaanbe,Bauri,Babura,79340,0.17777777777777778,2,strict
Mirzapur,Rajgarh,Rampur,Rampur 33,80048,0.11111111111111122,2,strict
Mirzapur,Rajgarh,Bargawan,Badgawa,79984,0.130952380952381,2,strict
Sonbhadra,Nagwan,Nagaon,Nagaw,90615,0.17777777777777778,2,strict
Sonbhadra,Vabhni,Ghaghra,Ghaghara,90253,0.08928571428571432,2,strict
Sonbhadra,Robertsganj,Kamhari,Kabari,90676,0.1507936507936509,2,strict
Sonbhadra,Robertsganj,Arauli,Amauli,269381,0.11111111111111106,2,strict
Sonbhadra,Robertsganj,Baghori,Baghnari,270144,0.130952380952381,2,strict
Sonbhadra,Robertsganj,Parhi,Pakari,90709,0.17777777777777778,2,strict
Sonbhadra,Ghorawal,Bhataulia,Bharauli,90428,0.11574074074074082,2,strict
Sonbhadra,Ghorawal,Karma,Kariaa,270928,0.17777777777777778,2,strict
Sonbhadra,Myorpur,Parasi,Parani,90571,0.11111111111111106,2,strict
Muzzafarnagar,Sadar,Vahlana,Mimlana,81468,0.28571428571428575,2,loose
Muzzafarnagar,Charthaawal,Chaukda,Chhmau,81153,0.253968253968254,2,loose
Meerut,Daurala,Azhauta,Bahrala,78880,0.28571428571428575,2,loose
Meerut,Machhra,Shahjahnapur,Sadullapur,79072,0.3,2,loose
Ghaziabad,Hapur,Asauda,Asodha,63605,0.22222222222222238,2,loose
Ghaziabad,Simbhavli,Mau.pur Azamput,Madhapur Mozampur,63800,0.24288048552754443,2,loose
Gautam Buddha Nagar,Visarkh,Haibatpur,Badalpur,63255,0.25000000000000006,2,loose
Gautam Buddha Nagar,Dadri,Sadopur,Anandpur,63294,0.22023809523809523,2,loose
Gautam Buddha Nagar,Jewar,Bankapur,Bajarpur,63348,0.25000000000000006,2,loose
Bulandshahr,Pahasu,Ahmadavas,Ahmad Baj,57320,0.22222222222222238,2,loose
Bulandshahr,Pahasu,Waan,Kamauna,57352,0.2738095238095238,2,loose
Bulandshahr,Anupshahr,Rora,Raura,56798,0.21666666666666667,2,loose
Bulandshahr,Siyana,Buklana,Barhana,57525,0.28571428571428575,2,loose
Bulandshahr,Khujra,Dhakar,Dharari,57225,0.21746031746031746,2,loose
Bulandshahr,Jahangirabad,KarkaRi,Karonji,57178,0.28571428571428575,2,loose
Bulandshahr,Bulandshahr,Julepura,Jalkhera,56940,0.25000000000000006,2,loose
Bijnaur,Noorpur,Gunia Kheri,Guniyabodi,55613,0.28484848484848485,2,loose
Jyotiba Phule Nagar,Gangeshwari,Bhoora,Bhubra,238794,0.22222222222222238,2,loose
Muradabad,Thakurdwara,Maisuwala,Madhowala,81012,0.22222222222222238,2,loose
Muradabad,Sambhal,Chaukani,Chamrua,80909,0.22023809523809523,2,loose
Muradabad,Asamoli,Bhatpura,Hirapur,80120,0.22023809523809523,3,loose
Muradabad,Asamoli,Dvoei,Dawoi,80106,0.26666666666666666,2,loose
Rampur,Bilaaspur,Haria Kala,Harraiya Kalan,84404,0.21190476190476193,2,loose
Rampur,Chamaraua,Bisara,Bahpura,84480,0.253968253968254,2,loose
Bareilly,Mirganj,divana,Dhaneta,53447,0.253968253968254,2,loose
Pilibhit,Marauri,Har Krishnanpur,Dioni Kesharpur,267924,0.26868686868686875,2,loose
Pilibhit,Amariya,Rohaniya,Birhani,81733,0.22023809523809523,2,loose
Pilibhit,Lalauri Kheda,Mirpur,Aliapur,82035,0.253968253968254,4,loose
Pilibhit,Purnanpur,Patna,Pandria,82261,0.20952380952380956,2,loose
Shahjahnapur,Daderol,Dhanyora,Dhaniaura,86966,0.25000000000000006,2,loose
Shahjahnapur,Kant,Amora,Amaura,87160,0.2611111111111111,2,loose
Shahjahnapur,Khutar,Sofia,Saufri,242749,0.3,2,loose
Budaun,Ujhani,Basauma,Barsua,56606,0.21746031746031746,2,loose
Hathras,Hasayan,Naujarpur,Banbaripur,75853,0.2216931216931217,3,loose
Agra,Khandoli,Saurai,Chaukra,43156,0.253968253968254,3,loose
Agra,Khandoli,Saimara,Naharra,43170,0.28571428571428575,2,loose
Firozabad,Eka,Eka,Ekhu,62789,0.27777777777777785,2,loose
Firozabad,Aaraon,Sainawali,Sarsauli,62773,0.27314814814814825,2,loose
Firozabad,Narkhi,Gauchh,Bachhgaon,63068,0.29629629629629634,2,loose
Firozabad,Hathwant,Kudi,Kodri,62926,0.21666666666666667,2,loose
Firozabad,Firozabad,Kaulamai,Baramai,264799,0.22023809523809523,3,loose
Firozabad,Tundla,Rasulpur,Rasulabad,63223,0.27314814814814825,2,loose
Mainpuri,Mainpuri,Audeya,Badery,77693,0.22222222222222238,2,loose
Mainpuri,Karhal,Karra,Harer,77536,0.26666666666666666,2,loose
Mainpuri,Sultanganj,Lallopur,Lalupura,77770,0.2222222222222222,2,loose
Kannauj,Saurkh,Daddoni,Darauni,71316,0.28571428571428575,2,loose
Itawah,Takha,Gujrati,Kudrail,60818,0.28571428571428575,2,loose
Auraiya,Achhaldaa,Aanto,Aouton,46420,0.3,2,loose
Auraiya,Auraiya,Ikaurapur,Ikorapur,46573,0.21097883597883602,2,loose
Kanpur Nagar,Shivrajpur,Kapoorpur Bhavan,Kakoopur Nihal,72535,0.28165584415584427,2,loose
Jalaun,Dakor,Vinorapur,Minora Orai,68627,0.2626262626262627,2,loose
Jalaun,Mahewa,Khardugui,Khairai,68982,0.24338624338624346,2,loose
Jalaun,Kuthound,Vavli,Bawali,68843,0.3,2,loose
Lalitpur,Mahrauni,Kumhaidi,Kumehri,75277,0.22023809523809523,2,loose
Lalitpur,Mahrauni,Bhaudi,Bhaira,75256,0.22222222222222238,3,loose
Hamirpur,Raath,Varel,Barail,67337,0.3,2,loose
Hamirpur,Sumerpur,Pauthia,Atraia,67416,0.253968253968254,3,loose
Hamirpur,Maudha,Gada,Garha,67255,0.21666666666666667,2,loose
Hamirpur,Maudha,Riwan,Reevan,67288,0.3,2,loose
Banda,Mahua,Harha,Khurhand,51410,0.23333333333333345,2,loose
Banda,Bissanda,Koni,Konee,51270,0.21666666666666667,2,loose
Kaushambi,Muratganj,Darveshpur,Asrafpur,72819,0.2722222222222222,2,loose
Kaushambi,Sirathu,Korase,Khoranv,73021,0.253968253968254,2,loose
Allahabad,Baharia,Devapur,Buapur,44299,0.253968253968254,2,loose
Allahabad,Bahadurpur,Dudahi,Medua,44249,0.3,2,loose
Allahabad,Bahadurpur,Bariyari,Baraepur,44197,0.25000000000000006,2,loose
Allahabad,Kaudihar,Bhagwatipur,Adampur,44816,0.27705627705627717,2,loose
Allahabad,Kaudihar,Bhagwatpur,Adampur,44816,0.2619047619047619,2,loose
Allahabad,Pratapur,Basna,Barendra,45292,0.23333333333333345,2,loose
Pratapgarh,Sadar,Purekeshawaray,Pure Bhaiya,83141,0.2754329004329005,2,loose
Pratapgarh,Sadar,Sonawa,Gonda,83117,0.3,2,loose
Pratapgarh,Baabaganj,Gogahar,Dhangarh,82476,0.28690476190476194,2,loose
Pratapgarh,Baabaganj,Aingha,Mangarh,82498,0.21746031746031746,2,loose
Pratapgarh,Shivgarh,Rastipur,Rajapur,83405,0.22023809523809523,3,loose
Rae bareli,Khiro,Ghurai,Dhurayee,83802,0.27777777777777785,2,loose
