sl_no,dist_name,samiti_name,gp,reservation,name,sex_manual,category,gp_new,dist_name_new,samiti_name_new
907,BANSW ARA,GADHI,KARANPUR,ST,DHULA,M,ST,karanpur,BANSWARA,GARHI
4242,DUNGARPUR,CHIKHALI,PUNAWADA,ST,DHULA DAMOR,M,ST,punawada,DUNGARPUR,CHIKHALI
1086,BANSW ARA,ARA THUNA,ARTHUNA,ST,DHULARAM,M,ST,arthuna,BANSWARA,ARA THUNA
946,BANSW ARA,GHATOL,BHUVASA,ST,DHULESHWAR,M,ST,bhuvasa,BANSWARA,GHATOL
952,BANSW ARA,GHATOL,CHHOTI PADAL,ST,DHULGI,M,ST,chhoti padal,BANSWARA,GHATOL
9804,UDAIPUR,JHALLARA,KALYANKALA,ST (Woman),DHULI,F,ST (Woman),kalyankala,UDAIPUR,JHALLARA
3894,DHOLPUR,BASERI,KHIDORA,General,DHUVENDRA SINGH,M,OBC,khidora,DHOLPUR,BASERI
7985,P ALI,SOJAT,SARDARSAMAND,General,DIGHVIJAY SINGH,M,General,sardarsamand,PALI,SOJAT
3207,CHITTORGARH,CHITTORGARH,OCHDI,General,DIGVIJAY SINGH,M,General,ochdi,CHITTORGARH,CHHITORGARH
9156,TONK,MALPURA,P ARLI,General,DIGVIJAY SINGH,M,General,parli,TONK,MALPURA
7549,NAGAUR,PARBATSAR,BHADSIYA,OBC,DIL SHUKH RAM,M,OBC,bhadsiya,NAGAUR,PARBATSAR
2602,BIKANER,BIKANER,KAVANI,OBC,DILDAR KHAN,M,OBC,kavani,BIKANER,BIKANER
